assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,shotAttemptsBlocked,takeaways,takeawaysPer60,totalShotAttempts
17,3,17,,0,82,3,Kulak,0,41,8476967,11,20,0.2439,D,0,0,20222023,0,3,0.02631,L,114,Brett Kulak,EDM,1050.5609,106,4.42,2.0,0,2.0,1,40,1.67,105,4.38,0,,1,4,,24,29,68,27,1.12,211
35,7,28,,2,70,7,Gustafsson,0,23,8476979,9,42,0.6,D,0,14,20222023,0,0,0.05737,L,122,Erik Gustafsson,"WSH,TOR",1186.3714,63,2.73,0.0,0,0.0,3,46,1.99,52,2.25,0,,3,6,,57,66,81,26,1.12,269
11,16,27,0.43181,5,69,21,Anderson,0,72,8476981,-8,32,0.46376,R,4,4,20222023,1,1,0.12804,R,164,Josh Anderson,MTL,1017.5942,49,2.51,1.0,1,2.0,4,25,1.28,139,7.12,0,,5,7,,54,66,51,30,1.53,281
23,1,22,,0,77,1,Benning,0,26,8476988,-18,24,0.31168,D,0,1,20222023,0,1,0.01724,R,58,Matthew Benning,SJS,1186.7142,125,4.92,1.0,0,1.0,0,43,1.69,102,4.01,0,,0,2,,27,29,69,18,0.7,156
9,2,10,0.25,1,26,2,Hinostroza,0,6,8476994,-1,11,0.42307,C,0,0,20222023,0,1,0.05263,R,38,Vinnie Hinostroza,BUF,756.0384,7,1.28,0.0,0,0.0,0,7,1.28,1,0.18,0,,2,4,,11,17,20,8,1.46,75
0,0,0,0.4,0,4,0,Brown,0,0,8477015,-3,0,0.0,R,0,0,20222023,0,0,0.0,R,2,Connor Brown,WSH,1006.0,1,0.89,,0,,0,2,1.78,6,5.36,0,,0,0,,3,3,3,1,0.89,8
5,3,7,,0,31,3,Hutton,0,6,8477018,1,8,0.25806,D,0,1,20222023,0,0,0.05769,L,52,Ben Hutton,VGK,959.6451,34,4.11,0.0,0,0.0,0,7,0.84,18,2.17,0,,1,3,,10,14,28,14,1.69,94
22,7,27,0.44827,1,82,10,Kerfoot,0,30,8477021,8,32,0.39024,C,2,3,20222023,1,2,0.07518,L,133,Alexander Kerfoot,TOR,877.1341,46,2.3,2.0,1,3.0,1,38,1.9,54,2.7,2,,3,6,,33,44,44,45,2.25,221
11,1,11,,0,54,1,Megna,0,21,8477034,3,12,0.22222,D,0,0,20222023,0,1,0.01785,L,56,Jaycob Megna,"SJS,SEA",1131.9629,66,3.88,1.0,0,1.0,0,26,1.53,86,5.06,0,,0,1,,21,22,48,14,0.82,126
8,3,11,0.26666,0,56,3,O'Brien,0,114,8477070,-5,11,0.19642,C,0,0,20222023,0,0,0.07692,L,39,Liam O'Brien,ARI,685.6071,28,2.62,1.0,0,1.0,0,20,1.87,203,19.03,0,,0,3,,14,17,18,6,0.56,74
5,1,6,0.0,1,44,1,MacDermid,0,55,8477073,-1,6,0.13636,L,0,0,20222023,0,0,0.05,L,20,Kurtis MacDermid,COL,499.9318,31,5.07,0.0,0,0.0,1,8,1.3,86,14.07,0,,0,0,,8,8,23,6,0.98,51
6,2,8,0.52329,0,55,2,Megna,0,6,8477126,-21,8,0.14545,C,0,0,20222023,0,0,0.05555,R,36,Jayson Megna,"COL,ANA",600.2545,23,2.5,0.0,0,0.0,0,6,0.65,47,5.12,0,,0,1,,16,17,11,10,1.09,64
2,1,3,0.2,0,9,1,Robinson,0,4,8477210,1,3,0.33333,R,0,0,20222023,0,0,0.07692,R,13,Buddy Robinson,CHI,706.4444,3,1.69,0.0,0,0.0,0,3,1.69,15,8.49,0,,0,0,,5,5,1,0,0.0,19
12,4,14,,0,71,7,Schmidt,0,8,8477220,15,19,0.2676,D,3,5,20222023,0,0,0.0693,L,101,Nate Schmidt,WPG,1108.0422,85,3.88,0.0,0,0.0,0,50,2.28,45,2.05,2,,0,3,,51,56,88,21,0.96,245
4,1,5,,0,47,1,Ruhwedel,0,18,8477244,-4,5,0.10638,D,0,0,20222023,0,0,0.02777,R,36,Chad Ruhwedel,PIT,874.1063,51,4.46,0.0,0,0.0,0,10,0.87,90,7.88,0,,0,2,,21,23,38,14,1.22,97
0,0,0,0.25,0,14,0,Blidh,0,4,8477320,-2,0,0.0,L,0,0,20222023,0,0,0.0,L,9,Anton Blidh,COL,394.7857,2,1.3,,0,,0,0,0.0,18,11.72,0,,0,0,,2,2,2,1,0.65,13
25,13,28,0.48571,3,81,20,Kubalik,1,24,8477330,-15,45,0.55555,L,7,17,20222023,0,0,0.11494,L,174,Dominik Kubalik,DET,894.8148,26,1.29,0.0,1,1.0,2,19,0.94,89,4.42,2,,0,7,,61,70,71,12,0.59,315
3,2,5,0.0,0,48,2,Burroughs,0,62,8477335,-4,5,0.10416,D,0,0,20222023,0,0,0.04255,R,47,Kyle Burroughs,VAN,1041.7916,84,6.04,0.0,0,0.0,2,13,0.93,165,11.87,0,,0,1,,11,12,33,5,0.35,92
3,0,3,0.46153,0,13,0,Johnsson,0,6,8477341,-6,3,0.23076,L,0,0,20222023,0,0,0.0,L,18,Andreas Johnsson,"NJD,SJS",807.8461,5,1.71,0.0,0,0.0,0,5,1.71,7,2.39,0,,0,0,,1,1,4,4,1.37,23
27,4,27,,1,81,4,Weegar,0,43,8477346,15,31,0.38271,D,0,3,20222023,0,1,0.025,R,160,MacKenzie Weegar,CGY,1265.9135,117,4.1,0.0,0,0.0,2,62,2.17,186,6.53,0,,3,10,,56,69,127,38,1.33,356
11,7,18,0.41176,1,62,8,Motte,0,6,8477353,3,19,0.30645,C,0,0,20222023,1,1,0.07339,L,109,Tyler Motte,"OTT,NYR",754.3548,60,4.61,0.0,1,1.0,1,27,2.07,118,9.08,0,,4,3,,24,31,44,29,2.23,184
6,4,10,0.375,0,64,4,Maenalanen,0,16,8477357,0,10,0.15625,R,0,0,20222023,0,0,0.06557,L,61,Saku Maenalanen,WPG,619.9218,31,2.81,0.0,0,0.0,0,16,1.45,113,10.25,0,,0,2,,27,29,19,23,2.08,109
1,0,1,,0,3,0,Poolman,0,0,8477359,1,1,0.33333,D,0,0,20222023,0,0,0.0,R,3,Tucker Poolman,VAN,837.6666,2,2.86,0.0,0,0.0,0,1,1.43,2,2.86,0,,0,0,,0,0,1,1,1.43,4
18,4,22,,0,78,5,Clifton,0,60,8477365,20,23,0.29487,D,0,0,20222023,1,1,0.05376,R,93,Connor Clifton,BOS,1071.3461,120,5.16,0.0,0,0.0,2,47,2.02,208,8.96,0,,2,4,,38,44,35,20,0.86,172
13,3,15,,0,78,3,Soucy,0,68,8477369,18,16,0.20512,D,0,0,20222023,0,1,0.03448,L,87,Carson Soucy,SEA,977.5128,96,4.53,0.0,0,0.0,1,32,1.51,143,6.75,1,,4,3,,35,43,66,29,1.36,196
1,1,2,0.53125,0,17,1,Brodzinski,0,8,8477380,3,2,0.11764,C,0,0,20222023,0,0,0.03703,R,27,Jonny Brodzinski,NYR,559.1176,4,1.51,0.0,0,0.0,0,4,1.51,9,3.4,0,,1,0,,8,9,6,6,2.27,42
3,4,7,,0,68,4,Brown,0,87,8477384,-18,7,0.10294,D,0,0,20222023,0,0,0.05882,R,68,Joshua Brown,ARI,945.75,118,6.6,0.0,0,0.0,1,29,1.62,152,8.5,0,,2,2,,33,37,23,10,0.55,128
9,10,18,0.2,1,49,10,Fasching,0,10,8477392,10,19,0.38775,R,0,1,20222023,0,0,0.16393,R,61,Hudson Fasching,NYI,748.9591,22,2.15,0.0,0,0.0,0,12,1.17,45,4.41,0,,3,2,,13,18,30,16,1.56,109
0,2,2,0.0,0,7,2,Hayden,0,7,8477401,2,2,0.28571,C,0,0,20222023,0,0,0.22222,R,9,John Hayden,SEA,474.7142,3,3.25,,0,,1,1,1.08,4,4.33,0,,0,0,,4,4,6,0,0.0,19
41,18,44,0.29906,2,63,26,Buchnevich,0,36,8477402,14,67,1.06349,L,8,21,20222023,0,2,0.21138,L,123,Pavel Buchnevich,STL,1167.1746,23,1.12,6.0,0,6.0,7,31,1.51,54,2.64,3,,1,9,,45,58,46,35,1.71,227
37,25,50,0.5,6,78,36,Guentzel,1,46,8477404,2,73,0.93589,C,11,23,20222023,0,0,0.14754,L,244,Jake Guentzel,PIT,1206.9615,46,1.75,2.0,7,9.0,4,48,1.83,83,3.17,1,,6,9,,84,100,102,44,1.68,446
15,7,21,0.44067,1,66,10,Janmark,0,30,8477406,9,25,0.37878,C,0,0,20222023,3,4,0.12658,L,79,Mattias Janmark,EDM,879.8333,26,1.61,0.0,2,2.0,2,26,1.61,20,1.23,1,,2,1,,19,23,15,27,1.67,117
7,2,9,,0,20,2,Duclair,0,2,8477407,4,9,0.45,L,0,0,20222023,0,0,0.04651,L,43,Anthony Duclair,FLA,891.1,9,1.81,0.0,1,1.0,0,9,1.81,20,4.03,1,,0,1,,21,23,17,6,1.21,83
31,35,60,0.4878,2,81,42,Verhaeghe,1,46,8477409,10,73,0.90123,C,7,13,20222023,0,0,0.15272,L,275,Carter Verhaeghe,FLA,1050.1234,31,1.31,1.0,3,4.0,6,56,2.37,29,1.22,3,,5,6,,64,78,117,35,1.48,470
25,15,35,0.30508,1,81,20,Bjorkstrand,1,16,8477416,-1,45,0.55555,R,5,10,20222023,0,0,0.10101,R,198,Oliver Bjorkstrand,SEA,937.4074,38,1.8,0.0,0,0.0,2,20,0.94,63,2.98,1,,6,8,,86,101,59,56,2.65,358
14,11,24,0.16666,2,76,13,Wood,0,76,8477425,1,27,0.35526,L,2,3,20222023,0,0,0.07784,L,167,Miles Wood,NJD,726.421,19,1.23,0.0,0,0.0,0,33,2.15,100,6.52,2,,1,0,,56,59,50,16,1.04,276
15,12,27,0.53745,4,80,17,Paul,0,33,8477426,11,32,0.4,L,4,4,20222023,1,1,0.14166,L,120,Nick Paul,TBL,969.55,46,2.13,0.0,4,4.0,4,35,1.62,111,5.15,2,,3,6,,46,57,40,60,2.78,217
33,7,36,0.49807,2,82,9,Copp,1,25,8477429,2,42,0.51219,C,1,5,20222023,1,1,0.075,L,120,Andrew Copp,DET,1089.3048,45,1.81,4.0,1,5.0,3,44,1.77,32,1.28,0,,3,3,,36,42,42,26,1.04,204
5,1,6,,0,42,1,Harpur,0,20,8477433,0,6,0.14285,D,0,0,20222023,0,0,0.02941,L,34,Ben Harpur,NYR,843.8333,57,5.78,0.0,0,0.0,0,23,2.33,63,6.39,0,,0,1,,12,13,30,13,1.32,77
18,8,24,,2,78,8,Graves,0,28,8477435,34,26,0.33333,D,0,0,20222023,0,2,0.05673,L,141,Ryan Graves,NJD,1196.8717,152,5.86,2.0,0,2.0,1,47,1.81,83,3.2,1,,3,5,,33,42,107,23,0.88,290
26,9,25,0.0,3,49,13,Burakovsky,2,14,8477444,-9,39,0.79591,L,4,14,20222023,0,0,0.1238,L,105,Andre Burakovsky,SEA,993.2244,15,1.1,0.0,0,0.0,0,17,1.25,17,1.25,2,,4,8,,28,42,59,31,2.29,206
2,2,3,0.59433,0,32,2,McCarron,0,24,8477446,-3,4,0.125,C,0,0,20222023,0,1,0.05128,R,39,Michael McCarron,NSH,632.5312,20,3.55,0.0,0,0.0,0,2,0.35,75,13.33,0,,0,2,,14,16,17,7,1.24,72
33,6,32,,2,55,8,Theodore,1,18,8477447,16,41,0.74545,D,2,9,20222023,0,0,0.05882,L,136,Shea Theodore,VGK,1285.9818,86,4.37,0.0,0,0.0,1,24,1.22,16,0.81,1,,3,3,,40,47,99,28,1.42,282
21,8,25,0.4773,1,78,9,Dickinson,0,28,8477450,-29,30,0.38461,C,1,1,20222023,0,4,0.07894,L,114,Jason Dickinson,CHI,956.3333,80,3.86,3.0,0,3.0,3,36,1.73,112,5.4,1,,1,4,,35,41,54,54,2.6,209
22,12,29,0.42907,6,59,15,Hartman,0,90,8477451,7,37,0.62711,R,1,4,20222023,2,4,0.10067,R,149,Ryan Hartman,MIN,977.8813,48,2.99,2.0,1,3.0,1,32,1.99,62,3.86,1,,7,5,,63,76,50,30,1.87,275
10,8,17,0.46153,2,61,8,Erne,0,21,8477454,-12,18,0.29508,L,0,0,20222023,0,1,0.14545,L,55,Adam Erne,DET,802.8524,55,4.04,1.0,1,2.0,2,17,1.24,160,11.76,0,,1,3,,26,30,29,16,1.17,114
35,12,38,0.48828,3,82,17,Compher,0,33,8477456,8,52,0.63414,L,5,14,20222023,0,0,0.11038,R,154,J.T. Compher,COL,1232.439,82,2.92,3.0,0,3.0,2,28,0.99,37,1.31,1,,7,4,,43,55,46,28,0.99,255
0,1,1,0.53503,0,21,1,Dauphin,0,10,8477460,-4,1,0.04761,C,0,0,20222023,0,0,0.04,L,25,Laurent Dauphin,ARI,627.5714,10,2.73,,0,,0,4,1.09,17,4.64,0,,0,0,,7,7,9,10,2.73,41
5,2,7,,0,38,2,Hagg,0,26,8477462,-5,7,0.18421,D,0,0,20222023,0,0,0.05,L,40,Robert Hagg,DET,931.2368,47,4.78,0.0,0,0.0,1,14,1.42,111,11.29,0,,1,2,,20,23,20,4,0.4,83
1,0,1,,0,4,0,Santini,0,2,8477463,0,1,0.25,D,0,0,20222023,0,0,0.0,R,5,Steven Santini,STL,750.5,10,11.99,0.0,0,0.0,0,4,4.79,6,7.19,0,,0,1,,2,3,1,0,0.0,9
2,1,3,0.33333,0,10,1,Petan,0,2,8477464,0,3,0.3,C,0,0,20222023,0,0,0.1,L,10,Nic Petan,MIN,696.0,5,2.58,0.0,0,0.0,0,1,0.51,4,2.06,0,,0,0,,2,2,5,3,1.55,17
0,0,0,,0,3,0,Olofsson,0,0,8477467,1,0,0.0,D,0,0,20222023,0,0,0.0,L,6,Gustav Olofsson,SEA,776.0,4,6.18,,0,,0,1,1.54,2,3.09,0,,0,0,,1,1,1,1,1.54,8
0,0,0,,0,3,0,Heatherington,0,0,8477471,-3,0,0.0,D,0,0,20222023,0,0,0.0,L,1,Dillon Heatherington,OTT,556.0,2,4.31,,0,,0,2,4.31,2,4.31,0,,0,0,,1,1,1,1,2.15,3
30,12,30,0.17391,3,64,21,Lehkonen,1,28,8477476,8,51,0.79687,L,8,20,20222023,1,1,0.14,L,150,Artturi Lehkonen,COL,1227.1406,43,1.97,1.0,1,2.0,5,12,0.55,93,4.26,0,,2,8,,53,63,63,26,1.19,276
9,16,25,0.125,7,56,16,Carrier,0,30,8477478,15,25,0.44642,L,0,0,20222023,0,0,0.13559,L,118,William Carrier,VGK,755.1071,22,1.87,0.0,0,0.0,2,8,0.68,133,11.32,0,,0,4,,22,26,28,19,1.61,172
22,4,20,0.23529,0,50,8,Bertuzzi,0,29,8477479,-8,30,0.6,L,4,10,20222023,0,0,0.07476,L,107,Tyler Bertuzzi,"DET,BOS",989.3,22,1.6,0.0,0,0.0,3,29,2.11,54,3.93,1,,1,1,,35,38,36,19,1.38,181
1,2,3,0.15384,1,16,2,Sanford,0,4,8477482,-3,3,0.1875,L,0,0,20222023,0,0,0.1,L,20,Zachary Sanford,NSH,809.375,21,5.83,0.0,0,0.0,0,9,2.5,21,5.83,0,,0,4,,7,11,10,5,1.38,41
25,4,24,,2,82,5,Pesce,1,43,8477488,11,30,0.36585,D,1,4,20222023,0,2,0.03472,R,144,Brett Pesce,CAR,1320.5731,110,3.65,0.0,0,0.0,1,26,0.86,37,1.23,0,,0,9,,63,72,130,60,1.99,346
69,30,77,0.44434,9,71,42,MacKinnon,2,30,8477492,29,111,1.56338,C,12,34,20222023,0,0,0.11475,R,366,Nathan MacKinnon,COL,1339.0422,40,1.51,2.0,2,4.0,9,47,1.77,53,2.0,5,,12,9,,88,114,149,43,1.62,629
55,14,46,0.54879,6,68,23,Barkov,0,8,8477493,10,78,1.14705,C,8,30,20222023,1,2,0.11057,L,208,Aleksander Barkov,FLA,1273.4558,48,1.99,4.0,0,4.0,5,38,1.57,52,2.16,2,,4,7,,56,69,68,56,2.32,345
27,2,20,0.44473,0,58,2,Drouin,0,18,8477494,-18,29,0.5,L,0,9,20222023,0,0,0.02898,L,69,Jonathan Drouin,MTL,894.4827,23,1.59,0.0,0,0.0,1,19,1.31,29,2.01,0,,4,0,,17,21,35,31,2.15,125
25,10,24,,1,72,12,Jones,1,30,8477495,-38,37,0.51388,D,2,12,20222023,0,1,0.06741,R,178,Seth Jones,CHI,1467.0694,125,4.26,1.0,0,1.0,2,66,2.24,106,3.61,0,,1,6,,57,64,88,46,1.56,330
42,11,40,0.55721,2,80,22,Lindholm,0,14,8477496,6,64,0.8,C,10,21,20222023,1,3,0.11827,R,186,Elias Lindholm,CGY,1119.0875,50,2.01,3.0,1,4.0,3,33,1.32,98,3.94,0,,11,8,,60,79,76,42,1.68,341
11,5,13,0.5514,0,25,6,Monahan,0,16,8477497,-5,17,0.68,C,1,4,20222023,0,0,0.10909,L,55,Sean Monahan,MTL,1042.04,8,1.1,1.0,2,3.0,0,14,1.93,10,1.38,0,,1,1,,13,15,14,18,2.48,84
31,10,39,,4,82,12,Nurse,1,64,8477498,26,43,0.52439,D,0,1,20222023,2,3,0.05911,L,203,Darnell Nurse,EDM,1409.7439,164,5.1,3.0,1,4.0,1,76,2.36,146,4.54,1,,4,6,,58,69,129,41,1.27,401
17,1,12,,0,74,3,Ristolainen,0,32,8477499,-4,20,0.27027,D,1,5,20222023,1,3,0.03488,R,86,Rasmus Ristolainen,PHI,1141.4459,142,6.05,0.0,0,0.0,0,43,1.83,162,6.9,0,,1,2,,32,35,52,24,1.02,173
32,22,43,0.56854,5,79,38,Horvat,1,18,8477500,-1,70,0.88607,C,12,22,20222023,4,5,0.16593,L,229,Bo Horvat,"VAN,NYI",1239.2405,55,2.02,0.0,4,4.0,6,37,1.36,57,2.09,1,,11,6,,54,72,54,38,1.39,355
30,6,28,0.0,2,53,17,Nichushkin,0,2,8477501,15,47,0.88679,R,10,16,20222023,1,3,0.10759,L,158,Valeri Nichushkin,COL,1216.2641,37,2.06,1.0,2,3.0,1,26,1.45,54,3.01,0,,4,5,,43,52,47,31,1.73,257
36,12,37,0.53684,4,80,20,Domi,2,82,8477503,-15,56,0.7,C,8,19,20222023,0,0,0.11173,L,179,Max Domi,"CHI,DAL",1066.25,24,1.01,0.0,3,3.0,0,51,2.15,22,0.92,2,,4,11,,47,64,80,65,2.74,323
60,14,48,,6,78,16,Morrissey,2,41,8477504,2,76,0.97435,D,2,28,20222023,0,0,0.09302,L,172,Josh Morrissey,WPG,1453.8717,119,3.77,1.0,0,1.0,3,59,1.87,89,2.82,1,,4,7,,81,93,130,36,1.14,395
25,9,29,0.456,3,82,13,Wennberg,0,20,8477505,-7,38,0.46341,C,4,9,20222023,0,0,0.12871,L,101,Alexander Wennberg,SEA,1121.6097,63,2.46,1.0,2,3.0,0,26,1.01,43,1.68,0,,3,2,,30,35,29,84,3.28,165
21,4,21,,1,82,5,Pulock,0,14,8477506,10,26,0.31707,D,1,5,20222023,0,0,0.03968,R,126,Ryan Pulock,NYI,1254.3048,128,4.48,0.0,0,0.0,1,37,1.29,140,4.9,0,,1,4,,54,59,116,22,0.77,301
7,14,20,,2,82,14,Zadorov,0,80,8477507,10,21,0.25609,D,0,1,20222023,0,0,0.10769,L,130,Nikita Zadorov,CGY,1121.1463,75,2.93,0.0,1,1.0,0,57,2.23,174,6.81,0,,3,6,,35,44,94,31,1.21,268
2,3,5,0.5147,0,49,3,Lazar,0,21,8477508,-6,5,0.10204,C,0,0,20222023,0,0,0.05454,R,55,Curtis Lazar,"VAN,NJD",715.7959,53,5.43,0.0,0,0.0,1,5,0.51,138,14.16,0,,0,1,,13,14,17,15,1.53,86
16,10,25,0.52941,2,67,11,Mantha,0,31,8477511,-8,27,0.40298,R,1,2,20222023,0,0,0.09243,L,119,Anthony Mantha,WSH,853.1044,24,1.51,2.0,0,2.0,1,33,2.07,68,4.28,1,,6,3,,27,37,47,23,1.44,203
0,0,0,0.33333,0,4,0,Dea,0,0,8477520,-2,0,0.0,C,0,0,20222023,0,0,0.0,R,1,Jean-Sebastien Dea,ARI,567.0,1,1.58,,0,,0,0,0.0,3,4.76,0,,0,0,,2,2,1,1,1.58,4
2,0,2,1.0,0,16,0,Johnston,0,37,8477527,-1,2,0.125,L,0,0,20222023,0,0,0.0,L,2,Ross Johnston,NYI,467.875,5,2.4,0.0,0,0.0,0,1,0.48,34,16.35,0,,0,0,,3,3,2,1,0.48,7
0,0,0,,0,2,0,Mermis,0,0,8477541,-1,0,0.0,D,0,0,20222023,0,0,0.0,L,1,Dakota Mermis,MIN,867.5,3,6.22,,0,,0,0,0.0,2,4.14,0,,0,0,,1,1,2,0,0.0,4
8,2,10,0.53672,1,56,2,Walker,0,25,8477573,10,10,0.17857,L,0,0,20222023,0,0,0.04651,L,43,Nathan Walker,STL,617.0357,35,3.64,0.0,0,0.0,0,6,0.62,82,8.54,0,,1,2,,13,16,19,8,0.83,78
2,0,2,,0,26,0,Hanley,0,15,8477810,5,2,0.07692,D,0,0,20222023,0,0,0.0,L,14,Joel Hanley,DAL,698.2307,28,5.55,0.0,0,0.0,0,7,1.38,24,4.75,0,,0,0,,9,9,8,3,0.59,31
22,11,28,0.51282,1,82,15,Sheary,0,22,8477839,9,37,0.45121,L,2,7,20222023,2,2,0.0974,L,154,Conor Sheary,WSH,945.939,39,1.81,2.0,1,3.0,2,34,1.57,57,2.64,1,,3,3,,56,63,42,48,2.22,259
16,7,22,,0,75,7,van Riemsdyk,0,15,8477845,10,23,0.30666,D,0,1,20222023,0,0,0.07216,R,97,Trevor van Riemsdyk,WSH,1143.9333,160,6.71,0.0,0,0.0,2,40,1.67,21,0.88,0,,1,1,,28,30,67,30,1.25,194
2,1,3,0.54032,0,22,1,Carpenter,0,10,8477846,-5,3,0.13636,C,0,0,20222023,0,0,0.05882,R,17,Ryan Carpenter,NYR,550.5909,11,3.26,0.0,0,0.0,0,12,3.56,35,10.4,0,,0,0,,8,8,5,6,1.78,30
9,2,11,,0,52,2,Oesterle,0,19,8477851,-9,11,0.21153,D,0,0,20222023,0,0,0.03703,L,54,Jordan Oesterle,DET,939.3461,68,5.01,0.0,0,0.0,0,18,1.32,41,3.02,0,,1,1,,19,21,30,4,0.29,105
8,3,11,0.52507,0,61,4,Brown,0,44,8477887,-2,12,0.19672,C,0,0,20222023,1,1,0.06666,R,60,Patrick Brown,"PHI,OTT",682.6557,42,3.63,0.0,0,0.0,0,13,1.12,167,14.43,1,,0,3,,34,38,24,9,0.77,122
9,13,21,0.23076,3,84,13,Hathaway,0,69,8477903,5,22,0.2619,R,0,0,20222023,0,1,0.14772,R,88,Garnet Hathaway,"WSH,BOS",707.7142,83,5.02,0.0,0,0.0,1,13,0.78,268,16.22,1,,4,1,,25,31,32,12,0.72,151
19,12,29,0.49261,3,82,19,Gaudreau,0,10,8477919,10,38,0.46341,C,3,4,20222023,4,5,0.13768,R,138,Freddy Gaudreau,MIN,962.5731,52,2.37,3.0,5,8.0,2,21,0.95,42,1.91,0,,2,3,,25,30,39,42,1.91,207
9,4,11,0.52272,0,73,4,Bellemare,0,34,8477930,-9,13,0.17808,L,0,0,20222023,0,2,0.07843,L,51,Pierre-Edouard Bellemare,TBL,676.9726,48,3.49,1.0,0,1.0,2,21,1.52,67,4.88,1,,0,0,,23,24,12,30,2.18,87
11,5,16,0.59296,1,66,7,Nosek,0,48,8477931,9,18,0.27272,L,0,0,20222023,2,2,0.10144,L,69,Tomas Nosek,BOS,753.1515,31,2.24,0.0,2,2.0,1,22,1.59,69,4.99,1,,2,2,,18,23,20,20,1.44,112
24,5,18,,2,71,14,Ekblad,0,68,8477932,-14,38,0.53521,D,8,19,20222023,1,1,0.06481,R,216,Aaron Ekblad,FLA,1403.6478,80,2.88,0.0,1,1.0,1,65,2.34,77,2.78,0,,2,3,,61,66,95,29,1.04,377
36,15,37,0.50643,5,82,31,Reinhart,1,12,8477933,-12,67,0.81707,C,16,27,20222023,0,3,0.13656,R,227,Sam Reinhart,FLA,1186.8658,49,1.81,1.0,6,7.0,5,38,1.4,58,2.14,0,,8,11,,84,103,77,35,1.29,407
76,19,64,0.54897,11,80,52,Draisaitl,1,24,8477934,7,128,1.6,C,32,62,20222023,1,2,0.21052,L,247,Leon Draisaitl,EDM,1304.0375,40,1.38,7.0,0,7.0,5,102,3.51,66,2.27,1,,7,6,,88,102,74,77,2.65,423
24,12,31,0.47013,3,63,16,Bennett,0,54,8477935,5,40,0.63492,C,4,9,20222023,0,0,0.0829,L,193,Sam Bennett,FLA,1044.4126,35,1.91,0.0,1,1.0,1,40,2.18,150,8.2,0,,1,6,,53,60,68,38,2.07,321
1,0,1,,0,29,0,Fleury,0,14,8477938,-10,1,0.03448,D,0,0,20222023,0,0,0.0,L,33,Haydn Fleury,TBL,767.5517,30,4.85,0.0,0,0.0,0,6,0.97,30,4.85,0,,1,0,,17,18,19,3,0.48,70
47,31,59,0.42372,5,82,40,Nylander,3,28,8477939,10,87,1.06097,R,9,28,20222023,0,0,0.13651,R,293,William Nylander,TOR,1112.5243,26,1.02,1.0,2,3.0,3,37,1.46,18,0.71,5,,9,15,,82,111,112,70,2.76,516
26,9,26,0.5,0,45,12,Ehlers,0,11,8477940,-2,38,0.84444,L,3,12,20222023,0,0,0.0909,L,132,Nikolaj Ehlers,WPG,938.8888,10,0.85,0.0,0,0.0,3,23,1.95,36,3.06,1,,5,8,,61,75,86,30,2.55,293
13,9,16,0.16666,2,74,13,Ritchie,0,53,8477941,-21,26,0.35135,L,4,10,20222023,0,0,0.10833,L,120,Nick Ritchie,"ARI,CGY",812.8918,32,1.91,0.0,0,0.0,4,19,1.13,218,13.04,0,,0,2,,37,39,38,8,0.47,197
49,16,48,0.5,2,69,23,Fiala,2,52,8477942,2,72,1.04347,L,7,24,20222023,0,0,0.11057,L,208,Kevin Fiala,LAK,1055.7101,18,0.88,0.0,5,5.0,5,37,1.82,53,2.61,0,,6,6,,52,64,89,18,0.88,361
5,7,12,0.28571,2,25,11,Vrana,1,10,8477944,3,16,0.64,L,4,4,20222023,0,0,0.1746,L,63,Jakub Vrana,"DET,STL",873.0,6,0.98,0.0,0,0.0,1,9,1.48,14,2.3,1,,2,4,,16,23,21,9,1.48,107
47,15,47,0.54391,5,80,32,Larkin,0,45,8477946,-7,79,0.9875,C,16,31,20222023,1,1,0.13114,L,244,Dylan Larkin,DET,1173.3375,27,1.03,6.0,3,9.0,10,47,1.8,47,1.8,2,,10,8,,84,104,117,56,2.14,465
22,10,28,,3,64,11,Milano,0,18,8477947,-5,33,0.51562,L,1,5,20222023,0,0,0.1375,L,80,Sonny Milano,WSH,774.4218,15,1.08,0.0,0,0.0,0,21,1.52,39,2.83,1,,2,4,,36,43,19,21,1.52,142
16,6,21,,1,81,7,Sanheim,0,40,8477948,-5,23,0.28395,D,0,1,20222023,1,1,0.06306,L,111,Travis Sanheim,PHI,1224.1604,137,4.97,1.0,0,1.0,1,42,1.52,61,2.21,0,,1,4,,36,41,54,22,0.79,206
43,27,58,0.42666,9,74,36,Tuch,1,20,8477949,14,79,1.06756,R,8,20,20222023,1,1,0.16513,R,218,Alex Tuch,BUF,1149.2432,46,1.94,1.0,4,5.0,3,38,1.6,54,2.28,0,,6,7,,76,89,56,64,2.7,363
31,7,23,,1,70,11,DeAngelo,1,73,8477950,-27,42,0.6,D,4,19,20222023,0,0,0.06321,R,174,Tony DeAngelo,PHI,1323.5142,79,3.06,0.0,0,0.0,1,57,2.21,52,2.02,1,,3,3,,35,42,71,25,0.97,287
