assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,shotAttemptsBlocked,takeaways,takeawaysPer60,totalShotAttempts
9,10,17,0.47142,0,79,10,Cogliano,0,44,8471699,6,19,0.2405,C,0,0,20222023,0,2,0.11764,L,85,Andrew Cogliano,COL,757.0632,54,3.25,0.0,0,0.0,3,9,0.54,55,3.31,0,,2,1,,16,19,27,24,1.44,131
17,1,18,,0,78,1,Vlasic,0,16,8471709,-14,18,0.23076,D,0,0,20222023,0,0,0.01492,L,67,Marc-Edouard Vlasic,SJS,1048.2307,116,5.1,1.0,0,1.0,0,37,1.62,45,1.98,0,,2,3,,42,47,65,34,1.49,179
29,5,19,,3,64,12,Letang,3,30,8471724,-13,41,0.64062,D,6,21,20222023,1,1,0.07453,R,161,Kris Letang,PIT,1491.4531,108,4.07,2.0,0,2.0,3,84,3.16,162,6.1,0,,1,4,,59,64,149,47,1.77,374
0,0,0,0.41891,0,11,0,Helm,0,4,8471794,-1,0,0.0,C,0,0,20222023,0,0,0.0,L,10,Darren Helm,COL,540.3636,3,1.81,,0,,0,1,0.6,16,9.69,0,,0,0,,3,3,2,1,0.6,15
10,5,15,0.26666,0,73,5,Reaves,0,43,8471817,-6,15,0.20547,R,0,0,20222023,0,0,0.10416,R,48,Ryan Reaves,"NYR,MIN",559.2465,24,2.11,0.0,0,0.0,1,16,1.41,196,17.28,0,,0,2,,19,21,10,15,1.32,79
0,0,0,,0,8,0,Stralman,0,2,8471873,-3,0,0.0,D,0,0,20222023,0,0,0.0,R,3,Anton Stralman,BOS,922.25,10,4.87,,0,,0,2,0.97,12,5.85,0,,0,0,,3,3,8,3,1.46,14
2,1,2,0.16666,1,22,1,Hornqvist,0,13,8471887,-4,3,0.13636,R,0,1,20222023,0,0,0.025,R,40,Patric Hornqvist,FLA,556.0454,8,2.35,0.0,0,0.0,0,0,0.0,18,5.29,0,,1,2,,12,15,11,5,1.47,66
46,12,37,0.38596,4,73,21,Marchand,0,74,8473419,27,67,0.9178,L,9,29,20222023,0,1,0.11475,L,183,Brad Marchand,BOS,1111.6849,22,0.97,2.0,1,3.0,4,84,3.72,81,3.59,5,,4,4,,54,67,85,42,1.86,335
16,8,21,0.55555,1,60,10,Foligno,0,45,8473422,18,26,0.43333,L,2,5,20222023,0,0,0.14084,L,71,Nick Foligno,BOS,741.9666,29,2.34,0.0,0,0.0,0,18,1.45,147,11.88,0,,2,0,,24,26,19,21,1.69,116
8,0,7,,0,63,0,Johnson,0,12,8473446,8,8,0.12698,D,0,0,20222023,0,1,0.0,R,98,Erik Johnson,COL,1035.2698,102,5.63,0.0,0,0.0,0,17,0.93,121,6.67,1,,0,3,,24,28,56,16,0.88,182
17,9,23,0.46857,3,75,11,Okposo,0,34,8473449,-7,28,0.37333,R,1,4,20222023,1,1,0.07333,R,150,Kyle Okposo,BUF,880.0533,25,1.36,1.0,3,4.0,1,22,1.19,78,4.25,1,,3,2,,34,40,51,28,1.52,241
11,7,18,0.42394,1,82,9,Lewis,0,18,8473453,-7,20,0.2439,C,1,1,20222023,1,1,0.0625,R,144,Trevor Lewis,CGY,727.1219,33,1.99,0.0,1,1.0,0,13,0.78,158,9.53,0,,2,2,,40,44,36,29,1.75,224
12,7,19,0.43589,0,77,7,Lucic,0,43,8473473,-13,19,0.24675,L,0,0,20222023,0,0,0.09589,L,73,Milan Lucic,CGY,678.4155,15,1.03,2.0,0,2.0,2,27,1.86,168,11.57,0,,1,4,,31,36,35,29,1.99,144
6,6,12,0.2,1,49,6,Clutterbuck,0,30,8473504,9,12,0.24489,R,0,0,20222023,0,0,0.13636,R,44,Cal Clutterbuck,NYI,733.4285,33,3.3,1.0,1,2.0,0,15,1.5,194,19.43,0,,0,2,,19,21,14,10,1.0,79
26,3,22,,0,61,5,Petry,0,24,8473507,2,31,0.50819,D,2,9,20222023,0,0,0.04424,R,113,Jeff Petry,PIT,1340.5901,111,4.88,0.0,0,0.0,0,36,1.58,190,8.36,0,,2,3,,45,50,90,23,1.01,253
44,28,54,0.58312,6,82,35,Giroux,1,34,8473512,4,79,0.96341,R,7,24,20222023,0,1,0.16355,R,214,Claude Giroux,OTT,1127.756,30,1.16,6.0,1,7.0,4,32,1.24,75,2.91,1,,6,9,,63,79,64,52,2.02,357
17,16,32,0.55698,3,81,17,Staal,0,32,8473533,7,34,0.41975,C,0,0,20222023,1,2,0.13709,L,124,Jordan Staal,CAR,976.0864,39,1.77,1.0,2,3.0,2,30,1.36,155,7.05,0,,1,2,,44,47,30,33,1.5,201
10,8,13,0.5,4,62,13,Brassard,0,30,8473544,3,23,0.37096,C,5,10,20222023,0,0,0.1413,L,92,Derick Brassard,OTT,730.8225,10,0.79,0.0,0,0.0,2,24,1.9,90,7.15,0,,1,4,,20,25,22,16,1.27,139
22,12,27,0.41666,0,82,14,Kessel,0,30,8473548,-7,36,0.43902,R,2,9,20222023,0,0,0.09395,R,149,Phil Kessel,VGK,768.5243,28,1.59,1.0,0,1.0,5,27,1.54,10,0.57,1,,1,6,,42,50,62,36,2.05,261
14,1,10,0.50389,0,39,7,Backstrom,0,14,8473563,-25,21,0.53846,C,6,11,20222023,0,0,0.11864,L,59,Nicklas Backstrom,WSH,1012.6923,23,2.09,0.0,0,0.0,2,22,2.0,24,2.18,0,,0,3,,18,21,38,16,1.45,118
16,6,19,0.63124,1,53,15,Toews,1,43,8473604,-31,31,0.5849,C,9,12,20222023,0,0,0.17241,L,87,Jonathan Toews,CHI,1062.6415,23,1.47,2.0,1,3.0,0,42,2.68,9,0.57,0,,1,5,,20,26,25,37,2.36,138
37,23,50,0.5,5,82,27,Killorn,2,45,8473986,18,64,0.78048,L,3,12,20222023,1,2,0.18881,L,143,Alex Killorn,TBL,1032.5365,31,1.31,4.0,2,6.0,4,54,2.29,61,2.59,0,,7,4,,32,43,53,40,1.7,239
